,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
38929,AGROWERNER,86430576,4,57,4614100,"3314711,4661300,4669999",SC,8127,Parceiros,1,0,0,1,0,0
38979,CAMPO FORTE MAQUINAS & FERRAMENTAS LTDA.,22125970,1,56,4789099,"3314711,4661300,4692300",RS,8619,Parceiros,1,0,0,1,0,0
39077,FELDERMANN INDUSTRIA E COMERCIO LTDA,24379972,1,5,2833000,"4661300,2832100,2543800",SC,8137,Parceiros,1,0,0,0,0,0
39235,,19874043,1,24,4662100,"3314711,3314712,3314716,3314717,4520005,4614100,4661300,4732600,7732201",MT,97,Parceiros,1,0,0,1,1,0
39302,GEOSAT TECNOLOGIA AGRICOLA,17698386,1,50,4759899,"4661300,4752100,9512600,9529199",RS,8841,Parceiros,1,0,0,0,0,0
39432,TONI CEREALISTA,1591198,5,11,4623106,"4930202,4661300,4611700,7490103,4612500,4789005,4683400",PR,7887,Parceiros,1,1,0,0,0,0
39538,COMERCIAL PULVERIZZA,30323276,1,71,4789099,"4661300,4744001",RS,8755,Parceiros,1,0,0,0,0,0
41784,SETOR AGRICOLA,54846951,2,96,113000,"2013401,4683400",SP,6915,Parceiros,0,1,0,0,0,0
41928,MR - DISTRIBUIDORA,72551021,1,6,4930202,4683400,PR,7525,Parceiros,0,1,0,0,0,0
42081,AGROSOLUM,24995623,1,0,7490103,4683400,GO,9361,Parceiros,0,1,0,0,0,0
42392,C.VALE,77863223,115,75,4632001,"0161001,3314702,3314711,3314712,3314713,4530703,4683400,4741500,4771704,5211799,7490103",PR,7771,Parceiros,0,1,0,1,1,0
42582,,97246748,11,82,141501,"0111399,0163600,4611700,4612500,4623106,4623108,4623109,4683400,4692300,4789002,4789099,4930203,5211799,7120100,7490103",RS,8637,Parceiros,0,1,0,0,0,0
53655,HWILL PECAS E IMPLEMENTOS,2228367,1,92,4789099,"4744001,4614100,4530703,4530704,4520001,4520007,3314712,3314711",SC,8073,Parceiros,0,0,1,1,1,0
53900,,7083396,1,27,7490103,"3314711,4530704,7319002,7731400",MG,4521,Parceiros,0,0,1,1,0,0
66405,,23403611,3,48,4511101,"7731400,4530703,3314711,3314712,4732600,7490104",GO,9571,Parceiros,0,0,0,1,1,0
66718,ASSIS AGRO TECNOLOGIA,29472897,1,38,4752100,"3314711,4614100,4742300",GO,9561,Parceiros,0,0,0,1,0,0
66779,HWILL PECAS E IMPLEMENTOS,2228367,3,54,4744001,"3314711,3314712,4520001,4520007,4619200,4785799,4789099",SC,8199,Parceiros,0,0,0,1,1,1
66961,,88910252,12,51,4789099,"3314711,3314712,4530703,4619200",RS,8953,Parceiros,0,0,0,1,1,1
67216,,11492141,12,48,4530701,"3314710,3314711,3314712,3329599,4520001,4530702,4618499,4663000,7490104,7739099",RS,8647,Parceiros,0,0,0,1,1,0
67217,,11492141,14,0,4530701,"3314710,3314711,3314712,3329599,4520001,4530702,4618499,4663000,7490104,7739099",RS,8953,Parceiros,0,0,0,1,1,0
67218,,11492141,17,52,4530701,"3314710,3314711,3314712,3329599,4520001,4530702,4618499,4663000,7490104,7739099",RS,8881,Parceiros,0,0,0,1,1,0
67666,,46461828,4,90,4511101,"4530703,4530706,3314711,3314712",MS,9165,Parceiros,0,0,0,1,1,0
67703,,43322510,1,98,2833000,"2832100,3321000,7731400,3314711",SP,6165,Parceiros,0,0,0,1,0,0
67753,OTM - CONTROLE ELETRONICO DE PLANTIO,5526922,1,50,2833000,3314711,PR,7673,Parceiros,0,0,0,1,0,0
67839,CARPAL TRATORES,23403611,2,67,4511101,"7731400,4530703,3314711,3314712,4732600,7490104",GO,9437,Parceiros,0,0,0,1,1,0
67904,,13052361,1,23,230600,"3314708,3314711,3314712,4930201,4930202,4930203,5212500,7719599,7731400",MG,4513,Parceiros,0,0,0,1,1,0
67982,,1335050,8,69,4789099,3314711,PR,7791,Parceiros,0,0,0,1,0,0
68298,MULTIPECAS BELA VISTA,25086692,1,63,4789099,"3314711,6810202",GO,9265,Parceiros,0,0,0,1,0,0
